coord_lon,coord_lat,weather_id,weather_main,weather_description,weather_icon,base,main_temp,main_feels_like,main_temp_min,main_temp_max,main_pressure,main_humidity,main_sea_level,main_grnd_level,main_temp_celsius,main_temp_fahrenheit,main_feels_like_celsius,main_feels_like_fahrenheit,visibility,wind_speed,wind_deg,clouds_all,dt,sys_type,sys_id,sys_country,sys_sunrise,sys_sunset,sys_sunrise_time,timezone,id,name,cod
88.4333,26.7,804,Clouds,overcast clouds,04n,stations,301.15,306.38,301.15,301.15,1001,87,1001,988,28.0,82.4,33.23000000000002,91.81400000000004,10000,1.42,24,96,1722448456,,,IN,1722382229,1722430479,2024-07-31T05:00:29,19800,1256525,Siliguri,200
78.5833,25.4333,804,Clouds,overcast clouds,04n,stations,303.47,309.24,303.47,303.47,1000,71,1000,972,30.32000000000005,86.57600000000009,36.09000000000003,96.96200000000006,10000,2.64,221,100,1722448627,,,IN,1722384722,1722432714,2024-07-31T05:42:02,19800,1269006,Jhānsi,200
73.15,19.2167,804,Clouds,overcast clouds,04n,stations,301.15,306.72,301.15,301.15,1006,89,1006,1005,28.0,82.4,33.57000000000005,92.4260000000001,5641,3.62,221,99,1722448612,1,9052,IN,1722386618,1722433426,2024-07-31T06:13:38,19800,1253894,Ulhasnagar,200
74.8667,32.7333,801,Clouds,few clouds,02n,stations,305.69,308.8,305.69,305.69,995,51,995,956,32.54000000000002,90.57200000000003,35.650000000000034,96.17000000000006,10000,1.43,45,14,1722448409,2,2075051,IN,1722384824,1722434396,2024-07-31T05:43:44,19800,1269321,Jammu,200
74.8833,12.8667,701,Mist,mist,50n,stations,297.63,298.74,297.63,297.63,1011,100,1011,1008,24.480000000000018,76.06400000000004,25.590000000000032,78.06200000000007,2500,3.09,290,100,1722448627,1,9217,IN,1722386756,1722432456,2024-07-31T06:15:56,19800,1263780,Mangalore,200
77.7333,11.35,804,Clouds,overcast clouds,04n,stations,298.27,299.21,298.27,298.27,1010,91,1010,991,25.120000000000005,77.21600000000001,26.060000000000002,78.90800000000002,10000,3.04,254,98,1722448566,,,IN,1722386199,1722431645,2024-07-31T06:06:39,19800,1272013,Erode,200
74.5,15.8667,804,Clouds,overcast clouds,04n,stations,294.54,295.27,294.54,294.54,1010,97,1010,924,21.390000000000043,70.50200000000008,22.120000000000005,71.816,1045,3.6,253,100,1722448500,,,IN,1722386591,1722432805,2024-07-31T06:13:11,19800,1276533,Belgaum,200
78.0425,15.8309,500,Rain,light rain,10n,stations,300.2,302.53,300.2,300.2,1007,75,1007,975,27.05000000000001,80.69000000000003,29.379999999999995,84.88399999999999,10000,7.82,256,100,1722448596,,,IN,1722385744,1722431952,2024-07-31T05:59:04,19800,1279074,Kurnool,200
80.1622,13.0983,701,Mist,mist,50n,stations,304.17,311.17,303.72,304.25,1006,74,1006,1004,31.02000000000004,87.83600000000007,38.02000000000004,100.43600000000008,5000,6.69,210,75,1722448591,2,2094883,IN,1722385469,1722431209,2024-07-31T05:54:29,19800,1278840,Ambattur,200
77.7,8.7333,804,Clouds,overcast clouds,04n,stations,301.47,304.01,301.47,301.47,1010,67,1010,1005,28.32000000000005,82.97600000000008,30.860000000000014,87.54800000000003,10000,4.44,264,97,1722448503,,,IN,1722386422,1722431438,2024-07-31T06:10:22,19800,1254361,Tirunelveli,200
74.5333,20.55,804,Clouds,overcast clouds,04n,stations,299.07,299.75,299.07,299.07,1005,78,1005,957,25.920000000000016,78.65600000000003,26.600000000000023,79.88000000000005,10000,5.7,248,97,1722448565,,,IN,1722386164,1722433216,2024-07-31T06:06:04,19800,1264115,Malegaon,200
